"Customer code","Customer ship to","Order","CPO DATE","Customer Requested Date","fixed Y","Qty","","Customer Part no","Currency","Ship Method","CPO DATE ","","","fixed 1","order_type" 
"4","GMTH-RAYONG_FG_SHIP","201511001","31102015","02112015","Y","Order Type","","52029707","THB","Road","31102015","","","1","FTTL_FG_DOMESTIC" 
"4","GMTH-RAYONG_FG_SHIP","201511002","31102015","02112015","Y","Order Type","","52033623","THB","Road","31102015","","","1","FTTL_FG_PASS_THRU" 
"4","GMTH-RAYONG_FG_SHIP","201511002","31102015","02112015","Y","Order Type","","52033624","THB","Road","31102015","","","1","FTTL_FG_PASS_THRU" 
"4","GMTH-RAYONG_FG_SHIP","201511002","31102015","02112015","Y","Order Type","","52033625","THB","Road","31102015","","","1","FTTL_FG_PASS_THRU" 
"4","GMTH-RAYONG_FG_SHIP","201511003","31102015","02112015","Y","Order Type","","98128501","THB","Road","31102015","","","1","FTTL_FG_DOMESTIC" 
"4","GMTH-RAYONG_FG_SHIP","201511009","01112015","03112015","Y","Order Type","","52029707","THB","Road","01112015","","","1","FTTL_FG_DOMESTIC" 
"4","GMTH-RAYONG_FG_SHIP","201511010","01112015","03112015","Y","Order Type","","52033623","THB","Road","01112015","","","1","FTTL_FG_PASS_THRU" 
"4","GMTH-RAYONG_FG_SHIP","201511010","01112015","03112015","Y","Order Type","","52033625","THB","Road","01112015","","","1","FTTL_FG_PASS_THRU" 
"4","GMTH-RAYONG_FG_SHIP","201511018","02112015","04112015","Y","Order Type","","52026924","THB","Road","02112015","","","1","FTTL_FG_DOMESTIC" 
"4","GMTH-RAYONG_FG_SHIP","201511018","02112015","04112015","Y","Order Type","","52029707","THB","Road","02112015","","","1","FTTL_FG_DOMESTIC" 
"4","GMTH-RAYONG_FG_SHIP","201511019","02112015","04112015","Y","Order Type","","52033621","THB","Road","02112015","","","1","FTTL_FG_PASS_THRU" 
"4","GMTH-RAYONG_FG_SHIP","201511020","02112015","04112015","Y","Order Type","","52033623","THB","Road","02112015","","","1","FTTL_FG_PASS_THRU" 
"4","GMTH-RAYONG_FG_SHIP","201511020","02112015","04112015","Y","Order Type","","52033625","THB","Road","02112015","","","1","FTTL_FG_PASS_THRU" 
"4","GMTH-RAYONG_FG_SHIP","201511028","03112015","05112015","Y","Order Type","","52026924","THB","Road","03112015","","","1","FTTL_FG_DOMESTIC" 
"4","GMTH-RAYONG_FG_SHIP","201511029","03112015","05112015","Y","Order Type","","52033622","THB","Road","03112015","","","1","FTTL_FG_PASS_THRU" 
"4","GMTH-RAYONG_FG_SHIP","201511029","03112015","05112015","Y","Order Type","","52033623","THB","Road","03112015","","","1","FTTL_FG_PASS_THRU" 
