1|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLBBNA0006|2016050901|09/05/2016|21:25|10/05/2016|01:00|PSF|23|EB01|03|||||||||||||PSF-23|722E-B-PK|10/05/2016|01:00|10/05/2016|03:13||1|86160-0K430-00|SPEAKER ASSY  RADIO|H660|M2-12-11|10|40|4||U|09/05/2016|21:25|09/05/2016|16:25|09/05/2016|16:25||09/05/2016|07:30|0905|||
2|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|XA|1|1G FTTLBXAA0047|2016050901|09/05/2016|09:35|09/05/2016|17:00|PXA|16|WB07|02|||||||||||||PXA-16|722C-G-XA|09/05/2016|17:00|09/05/2016|21:25||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518|C4-09-45|20|60|3||I|09/05/2016|09:35|09/05/2016|05:35|09/05/2016|05:35||05/05/2016|07:30|0905|||
3|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|XA|1|1G FTTLBXAA0047|2016050901|09/05/2016|09:35|09/05/2016|17:00|PXA|16|WB07|02|||||||||||||PXA-16|722C-G-XA|09/05/2016|17:00|09/05/2016|21:25||2|86160-02B00-00|SPEAKER ASSY RADIO|K087|D2-10-21|10|200|20||2|09/05/2016|09:35|09/05/2016|05:35|09/05/2016|05:35||05/05/2016|07:30|0905|||
4|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1435|2016050907|09/05/2016|10:00|09/05/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|09/05/2016|15:00|09/05/2016|20:08||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SM -  01|8|40|5||K|09/05/2016|10:00|09/05/2016|06:00|09/05/2016|06:00||04/05/2016|07:30|0905||S1|
5|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1435|2016050907|09/05/2016|10:00|09/05/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|09/05/2016|15:00|09/05/2016|20:08||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SN -  01|8|40|5||K|09/05/2016|10:00|09/05/2016|06:00|09/05/2016|06:00||04/05/2016|07:30|0905||S1|
6|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1435|2016050907|09/05/2016|10:00|09/05/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|09/05/2016|15:00|09/05/2016|20:08||3|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SO -  01|8|56|7||L|09/05/2016|10:00|09/05/2016|06:00|09/05/2016|06:00||04/05/2016|07:30|0905||S1|
7|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1435|2016050907|09/05/2016|10:00|09/05/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|09/05/2016|15:00|09/05/2016|20:08||4|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SP -  01|8|56|7||L|09/05/2016|10:00|09/05/2016|06:00|09/05/2016|06:00||04/05/2016|07:30|0905||S1|
8|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1436|2016050908|09/05/2016|10:00|09/05/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|09/05/2016|15:00|09/05/2016|21:25||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SM -  01|8|48|6||K|09/05/2016|10:00|09/05/2016|06:00|09/05/2016|06:00||04/05/2016|07:30|0905||S1|
9|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1436|2016050908|09/05/2016|10:00|09/05/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|09/05/2016|15:00|09/05/2016|21:25||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SN -  01|8|48|6||K|09/05/2016|10:00|09/05/2016|06:00|09/05/2016|06:00||04/05/2016|07:30|0905||S1|
10|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1436|2016050908|09/05/2016|10:00|09/05/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|09/05/2016|15:00|09/05/2016|21:25||3|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SO -  01|8|48|6||L|09/05/2016|10:00|09/05/2016|06:00|09/05/2016|06:00||04/05/2016|07:30|0905||S1|
11|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1436|2016050908|09/05/2016|10:00|09/05/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|09/05/2016|15:00|09/05/2016|21:25||4|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SP -  01|8|48|6||L|09/05/2016|10:00|09/05/2016|06:00|09/05/2016|06:00||04/05/2016|07:30|0905||S1|
