1|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLBBNA0012|2016051601|16/05/2016|21:25|17/05/2016|01:00|PSF|23|EB01|03|||||||||||||PSF-23|722E-B-PK|17/05/2016|01:00|17/05/2016|03:13||1|86160-0K430-00|SPEAKER ASSY  RADIO|H660|M2-12-11|10|40|4||U|16/05/2016|21:25|16/05/2016|16:25|16/05/2016|16:25||16/05/2016|07:30|1605|||
2|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|XA|1|1G FTTLBXAA0053|2016051601|16/05/2016|09:35|16/05/2016|17:00|PXA|16|WB07|02|||||||||||||PXA-16|722C-G-XA|16/05/2016|17:00|16/05/2016|21:25||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518|C4-09-45|20|60|3||I|16/05/2016|09:35|16/05/2016|05:35|16/05/2016|05:35||14/05/2016|07:30|1605|||
3|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|XA|1|1G FTTLBXAA0053|2016051601|16/05/2016|09:35|16/05/2016|17:00|PXA|16|WB07|02|||||||||||||PXA-16|722C-G-XA|16/05/2016|17:00|16/05/2016|21:25||2|86160-02B00-00|SPEAKER ASSY RADIO|K087|D2-10-21|10|200|20||2|16/05/2016|09:35|16/05/2016|05:35|16/05/2016|05:35||14/05/2016|07:30|1605|||
4|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1501|2016051607|16/05/2016|10:00|16/05/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|16/05/2016|15:00|16/05/2016|20:08||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SM -  01|8|40|5||K|16/05/2016|10:00|16/05/2016|06:00|16/05/2016|06:00||14/05/2016|07:30|1605||S1|
5|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1501|2016051607|16/05/2016|10:00|16/05/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|16/05/2016|15:00|16/05/2016|20:08||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SN -  01|8|56|7||K|16/05/2016|10:00|16/05/2016|06:00|16/05/2016|06:00||14/05/2016|07:30|1605||S1|
6|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1501|2016051607|16/05/2016|10:00|16/05/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|16/05/2016|15:00|16/05/2016|20:08||3|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SO -  01|8|48|6||L|16/05/2016|10:00|16/05/2016|06:00|16/05/2016|06:00||14/05/2016|07:30|1605||S1|
7|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1501|2016051607|16/05/2016|10:00|16/05/2016|15:00|PG2|14|GB02|02|||||||||||||PG2-14|722C-G-G2|16/05/2016|15:00|16/05/2016|20:08||4|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SP -  01|8|48|6||L|16/05/2016|10:00|16/05/2016|06:00|16/05/2016|06:00||14/05/2016|07:30|1605||S1|
8|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1502|2016051608|16/05/2016|10:00|16/05/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|16/05/2016|15:00|16/05/2016|21:25||1|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SM -  01|8|48|6||K|16/05/2016|10:00|16/05/2016|06:00|16/05/2016|06:00||14/05/2016|07:30|1605||S1|
9|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1502|2016051608|16/05/2016|10:00|16/05/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|16/05/2016|15:00|16/05/2016|21:25||2|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SN -  01|8|40|5||K|16/05/2016|10:00|16/05/2016|06:00|16/05/2016|06:00||14/05/2016|07:30|1605||S1|
10|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1502|2016051608|16/05/2016|10:00|16/05/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|16/05/2016|15:00|16/05/2016|21:25||3|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SO -  01|8|56|7||L|16/05/2016|10:00|16/05/2016|06:00|16/05/2016|06:00||14/05/2016|07:30|1605||S1|
11|FTTL|B|FUJITSU TEN (THAILAND) CO.,LTD.|G|GATEWAY|G2|1|1G FTTLBG2A1502|2016051608|16/05/2016|10:00|16/05/2016|15:00|PG2|16|GB02|02|||||||||||||PG2-16|722C-G-G2|16/05/2016|15:00|16/05/2016|21:25||4|86160-02B00-00|SPEAKER ASSY  RADIO|7T62|..SP -  01|8|48|6||L|16/05/2016|10:00|16/05/2016|06:00|16/05/2016|06:00||14/05/2016|07:30|1605||S1|
