1|FTTL|A|DENSO TEN (THAILAND) LIMITED.|G|GATEWAY|Z1|1|1G FTTLAZ1A0526|2022122401|23/12/2022|13:10|23/12/2022|21:54|PZ1|01|WD03|01|||||||||||||PZ1-01|722C-G-XA|23/12/2022|21:54|24/12/2022|07:30||1|89040-0K030-00|SIREN ASSY  THEFT WARNING|V653||16|16|1|||23/12/2022|13:10|23/12/2022|10:50|23/12/2022|10:50||23/12/2022|07:30|2412|||SN1|
2|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0355|2022122402|23/12/2022|22:25|24/12/2022|03:15|PSG|09|ED40|04|||||||||||||PSG-09|722E-B-PK|24/12/2022|03:15|24/12/2022|13:46||1|86120-0KE91-00|RECEIVER ASSY  RADIO|T597||2|6|3|||23/12/2022|22:25|23/12/2022|02:25|23/12/2022|02:25||22/12/2022|07:30|2412|||FV1|
3|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0355|2022122402|23/12/2022|22:25|24/12/2022|03:15|PSG|09|ED40|04|||||||||||||PSG-09|722E-B-PK|24/12/2022|03:15|24/12/2022|13:46||2|86140-02K70-00|RECEIVER ASSY RADIO & DISPLAY|T308||2|10|5|||23/12/2022|22:25|23/12/2022|02:25|23/12/2022|02:25||22/12/2022|07:30|2412|||FV1|
4|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0355|2022122402|23/12/2022|22:25|24/12/2022|03:15|PSG|09|ED40|04|||||||||||||PSG-09|722E-B-PK|24/12/2022|03:15|24/12/2022|13:46||3|86140-0KC00-00|RECEIVER ASSY  RADIO & DISPLAY|M679||2|10|5|||23/12/2022|22:25|23/12/2022|02:25|23/12/2022|02:25||22/12/2022|07:30|2412|||FV1|
5|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0355|2022122402|23/12/2022|22:25|24/12/2022|03:15|PSG|09|ED40|04|||||||||||||PSG-09|722E-B-PK|24/12/2022|03:15|24/12/2022|13:46||4|86140-0KQ00-00|RECEIVER ASSY  RADIO & DISPLAY|M685||2|14|7|||23/12/2022|22:25|23/12/2022|02:25|23/12/2022|02:25||22/12/2022|07:30|2412|||FZ1|
6|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0355|2022122402|23/12/2022|22:25|24/12/2022|03:15|PSG|09|ED40|04|||||||||||||PSG-09|722E-B-PK|24/12/2022|03:15|24/12/2022|13:46||5|86140-0KS60-00|RECEIVER ASSY  RADIO & DISPLAY|M955||2|2|1|||23/12/2022|22:25|23/12/2022|02:25|23/12/2022|02:25||22/12/2022|07:30|2412|||FZ1|
7|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0356|2022122403|24/12/2022|02:58|24/12/2022|08:05|PSG|15|ED40|01|||||||||||||PSG-15|722E-B-PK|24/12/2022|08:05|24/12/2022|20:46||1|86120-0KE91-00|RECEIVER ASSY  RADIO|T597||2|6|3|||24/12/2022|02:58|23/12/2022|06:58|23/12/2022|06:58||22/12/2022|07:30|2412|||FV1|
8|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0356|2022122403|24/12/2022|02:58|24/12/2022|08:05|PSG|15|ED40|01|||||||||||||PSG-15|722E-B-PK|24/12/2022|08:05|24/12/2022|20:46||2|86140-02K70-00|RECEIVER ASSY RADIO & DISPLAY|T308||2|8|4|||24/12/2022|02:58|23/12/2022|06:58|23/12/2022|06:58||22/12/2022|07:30|2412|||FV1|
9|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0356|2022122403|24/12/2022|02:58|24/12/2022|08:05|PSG|15|ED40|01|||||||||||||PSG-15|722E-B-PK|24/12/2022|08:05|24/12/2022|20:46||3|86140-0KC00-00|RECEIVER ASSY  RADIO & DISPLAY|M679||2|8|4|||24/12/2022|02:58|23/12/2022|06:58|23/12/2022|06:58||22/12/2022|07:30|2412|||FV1|
10|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0356|2022122403|24/12/2022|02:58|24/12/2022|08:05|PSG|15|ED40|01|||||||||||||PSG-15|722E-B-PK|24/12/2022|08:05|24/12/2022|20:46||4|86140-0KQ00-00|RECEIVER ASSY  RADIO & DISPLAY|M685||2|16|8|||24/12/2022|02:58|23/12/2022|06:58|23/12/2022|06:58||22/12/2022|07:30|2412|||FZ1|
11|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0356|2022122403|24/12/2022|02:58|24/12/2022|08:05|PSG|15|ED40|01|||||||||||||PSG-15|722E-B-PK|24/12/2022|08:05|24/12/2022|20:46||5|86140-0KS60-00|RECEIVER ASSY  RADIO & DISPLAY|M955||2|4|2|||24/12/2022|02:58|23/12/2022|06:58|23/12/2022|06:58||22/12/2022|07:30|2412|||FZ1|
12|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0356|2022122403|24/12/2022|02:58|24/12/2022|08:05|PSG|15|ED40|01|||||||||||||PSG-15|722E-B-PK|24/12/2022|08:05|24/12/2022|20:46||6|86140-F0190-00|RECEIVER ASSY  RADIO & DISPLAY|T014||2|2|1|||24/12/2022|02:58|23/12/2022|06:58|23/12/2022|06:58||22/12/2022|07:30|2412|||FV1|
13|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0357|2022122404|24/12/2022|10:13|24/12/2022|15:15|PSG|21|ED40|02|||||||||||||PSG-21|722E-B-PK|24/12/2022|15:15|25/12/2022|01:46||1|86120-0KE91-00|RECEIVER ASSY  RADIO|T597||2|6|3|||24/12/2022|10:13|23/12/2022|14:13|23/12/2022|14:13||23/12/2022|07:30|2412|||FV1|
14|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0357|2022122404|24/12/2022|10:13|24/12/2022|15:15|PSG|21|ED40|02|||||||||||||PSG-21|722E-B-PK|24/12/2022|15:15|25/12/2022|01:46||2|86140-02K70-00|RECEIVER ASSY RADIO & DISPLAY|T308||2|8|4|||24/12/2022|10:13|23/12/2022|14:13|23/12/2022|14:13||23/12/2022|07:30|2412|||FV1|
15|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0357|2022122404|24/12/2022|10:13|24/12/2022|15:15|PSG|21|ED40|02|||||||||||||PSG-21|722E-B-PK|24/12/2022|15:15|25/12/2022|01:46||3|86140-0KC00-00|RECEIVER ASSY  RADIO & DISPLAY|M679||2|6|3|||24/12/2022|10:13|23/12/2022|14:13|23/12/2022|14:13||23/12/2022|07:30|2412|||FV1|
16|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0357|2022122404|24/12/2022|10:13|24/12/2022|15:15|PSG|21|ED40|02|||||||||||||PSG-21|722E-B-PK|24/12/2022|15:15|25/12/2022|01:46||4|86140-0KQ00-00|RECEIVER ASSY  RADIO & DISPLAY|M685||2|16|8|||24/12/2022|10:13|23/12/2022|14:13|23/12/2022|14:13||23/12/2022|07:30|2412|||FZ1|
17|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0357|2022122404|24/12/2022|10:13|24/12/2022|15:15|PSG|21|ED40|02|||||||||||||PSG-21|722E-B-PK|24/12/2022|15:15|25/12/2022|01:46||5|86140-0KS60-00|RECEIVER ASSY  RADIO & DISPLAY|M955||2|4|2|||24/12/2022|10:13|23/12/2022|14:13|23/12/2022|14:13||23/12/2022|07:30|2412|||FZ1|
18|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0357|2022122404|24/12/2022|10:13|24/12/2022|15:15|PSG|21|ED40|02|||||||||||||PSG-21|722E-B-PK|24/12/2022|15:15|25/12/2022|01:46||6|86140-F0190-00|RECEIVER ASSY  RADIO & DISPLAY|T014||2|2|1|||24/12/2022|10:13|23/12/2022|14:13|23/12/2022|14:13||23/12/2022|07:30|2412|||FV1|
19|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|D1|1|1B FTTLAD1A8565|2023010401|04/01/2023|10:13|04/01/2023|15:15|PSG|18|ED40|02|||||||||||||PSG-18|722E-B-PK|04/01/2023|15:15|04/01/2023|22:51||1|86140-0KP31-00|RECEIVER ASSY  RADIO & DISPLAY|U153||2|4|2|||04/01/2023|10:13|24/12/2022|14:13|24/12/2022|14:13||24/12/2022|07:30|0401|||FZ1|
20|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|D1|1|1B FTTLAD1A8565|2023010401|04/01/2023|10:13|04/01/2023|15:15|PSG|18|ED40|02|||||||||||||PSG-18|722E-B-PK|04/01/2023|15:15|04/01/2023|22:51||2|89040-0K020-00|SIREN ASSY  THEFT WARNING|H682||5|365|73|||04/01/2023|10:13|24/12/2022|14:13|24/12/2022|14:13||24/12/2022|07:30|0401|||SN1|
21|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|D1|1|1B FTTLAD1A8565|2023010401|04/01/2023|10:13|04/01/2023|15:15|PSG|18|ED40|02|||||||||||||PSG-18|722E-B-PK|04/01/2023|15:15|04/01/2023|22:51||3|89040-0K030-00|SIREN ASSY  THEFT WARNING|I257||16|112|7|||04/01/2023|10:13|24/12/2022|14:13|24/12/2022|14:13||24/12/2022|07:30|0401|||SN1|
22|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0358|2023010401|24/12/2022|14:23|24/12/2022|20:15|PSG|03|ED40|03|||||||||||||PSG-03|722E-B-PK|24/12/2022|20:15|04/01/2023|08:46||1|86120-0KE91-00|RECEIVER ASSY  RADIO|T597||2|8|4|||24/12/2022|14:23|23/12/2022|18:23|23/12/2022|18:23||23/12/2022|07:30|0401|||FV1|
23|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0358|2023010401|24/12/2022|14:23|24/12/2022|20:15|PSG|03|ED40|03|||||||||||||PSG-03|722E-B-PK|24/12/2022|20:15|04/01/2023|08:46||2|86140-02K70-00|RECEIVER ASSY RADIO & DISPLAY|T308||2|6|3|||24/12/2022|14:23|23/12/2022|18:23|23/12/2022|18:23||23/12/2022|07:30|0401|||FV1|
24|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0358|2023010401|24/12/2022|14:23|24/12/2022|20:15|PSG|03|ED40|03|||||||||||||PSG-03|722E-B-PK|24/12/2022|20:15|04/01/2023|08:46||3|86140-0KC00-00|RECEIVER ASSY  RADIO & DISPLAY|M679||2|8|4|||24/12/2022|14:23|23/12/2022|18:23|23/12/2022|18:23||23/12/2022|07:30|0401|||FV1|
25|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0358|2023010401|24/12/2022|14:23|24/12/2022|20:15|PSG|03|ED40|03|||||||||||||PSG-03|722E-B-PK|24/12/2022|20:15|04/01/2023|08:46||4|86140-0KN70-00|RECEIVER ASSY  RADIO & DISPLAY|M682||2|2|1|||24/12/2022|14:23|23/12/2022|18:23|23/12/2022|18:23||23/12/2022|07:30|0401|||FZ1|
26|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0358|2023010401|24/12/2022|14:23|24/12/2022|20:15|PSG|03|ED40|03|||||||||||||PSG-03|722E-B-PK|24/12/2022|20:15|04/01/2023|08:46||5|86140-0KQ00-00|RECEIVER ASSY  RADIO & DISPLAY|M685||2|12|6|||24/12/2022|14:23|23/12/2022|18:23|23/12/2022|18:23||23/12/2022|07:30|0401|||FZ1|
27|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0358|2023010401|24/12/2022|14:23|24/12/2022|20:15|PSG|03|ED40|03|||||||||||||PSG-03|722E-B-PK|24/12/2022|20:15|04/01/2023|08:46||6|86140-0KS60-00|RECEIVER ASSY  RADIO & DISPLAY|M955||2|4|2|||24/12/2022|14:23|23/12/2022|18:23|23/12/2022|18:23||23/12/2022|07:30|0401|||FZ1|
28|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0358|2023010401|24/12/2022|14:23|24/12/2022|20:15|PSG|03|ED40|03|||||||||||||PSG-03|722E-B-PK|24/12/2022|20:15|04/01/2023|08:46||7|86140-F0190-00|RECEIVER ASSY  RADIO & DISPLAY|T014||2|2|1|||24/12/2022|14:23|23/12/2022|18:23|23/12/2022|18:23||23/12/2022|07:30|0401|||FV1|
29|FTTL|A|DENSO TEN (THAILAND) LIMITED.|G|GATEWAY|Z1|1|1G FTTLAZ1A0527|2023010401|04/01/2023|13:10|04/01/2023|20:30|PZ1|23|WD03|01|||||||||||||PZ1-23|722C-G-XA|04/01/2023|20:30|05/01/2023|03:13||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518||20|20|1|||04/01/2023|13:10|04/01/2023|10:50|04/01/2023|10:50||24/12/2022|07:30|0401|||SN1|
30|FTTL|A|DENSO TEN (THAILAND) LIMITED.|G|GATEWAY|Z1|1|1G FTTLAZ1A0527|2023010401|04/01/2023|13:10|04/01/2023|20:30|PZ1|23|WD03|01|||||||||||||PZ1-23|722C-G-XA|04/01/2023|20:30|05/01/2023|03:13||2|89040-0K010-00|SIREN ASSY  THEFT WARNING|V652||16|32|2|||04/01/2023|13:10|04/01/2023|10:50|04/01/2023|10:50||24/12/2022|07:30|0401|||SN1|
31|FTTL|A|DENSO TEN (THAILAND) LIMITED.|G|GATEWAY|Z1|1|1G FTTLAZ1A0527|2023010401|04/01/2023|13:10|04/01/2023|20:30|PZ1|23|WD03|01|||||||||||||PZ1-23|722C-G-XA|04/01/2023|20:30|05/01/2023|03:13||3|89040-0K030-00|SIREN ASSY  THEFT WARNING|V653||16|16|1|||04/01/2023|13:10|04/01/2023|10:50|04/01/2023|10:50||24/12/2022|07:30|0401|||SN1|
32|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0359|2023010402|24/12/2022|22:25|25/12/2022|03:15|PSG|09|ED40|04|||||||||||||PSG-09|722E-B-PK|25/12/2022|03:15|04/01/2023|13:46||1|86120-0KE91-00|RECEIVER ASSY  RADIO|T597||2|8|4|||24/12/2022|22:25|24/12/2022|02:25|24/12/2022|02:25||23/12/2022|07:30|0401|||FV1|
33|FTTL|A|DENSO TEN (THAILAND) LIMITED.|B|BANGPAKONG|DZ|1|1B FTTLADZA0359|2023010402|24/12/2022|22:25|25/12/2022|03:15|PSG|09|ED40|04|||||||||||||PSG-09|722E-B-PK|25/12/2022|03:15|04/01/2023|13:46||2|86140-02K70-00|RECEIVER ASSY RADIO & DISPLAY|T308||2|6|3|||24/12/2022|22:25|24/12/2022|02:25|24/12/2022|02:25||23/12/2022|07:30|0401|||FV1|
