1|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLAC2A0973|2019091701|17/09/2019|11:24|17/09/2019|17:20|PK2|15|KD02|01|||||||||||||PK2-15|722C-C-C2|17/09/2019|17:20|17/09/2019|20:46||1|89040-02070-00|SIREN ASSY  THEFT WARNING|475C|LI   -  07|12|12|1||B|17/09/2019|11:24|17/09/2019|06:31|17/09/2019|06:31||16/09/2019|07:30|1709||||
2|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8191|2019091705|17/09/2019|15:53|17/09/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|17/09/2019|21:06|17/09/2019|23:16||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|44|11||F|17/09/2019|15:53|17/09/2019|09:58|17/09/2019|09:58||17/09/2019|07:30|1709||F1||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8191|2019091705|17/09/2019|15:53|17/09/2019|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|17/09/2019|21:06|17/09/2019|23:16||2|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|17/09/2019|15:53|17/09/2019|09:58|17/09/2019|09:58||17/09/2019|07:30|1709||F1||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8192|2019091706|17/09/2019|15:53|17/09/2019|21:06|PPA1|22|CD16|02|||||||||||||PPA1-22|722F-P-P1|17/09/2019|21:06|18/09/2019|03:20||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|17/09/2019|15:53|17/09/2019|09:58|17/09/2019|09:58||17/09/2019|07:30|1709|2|F1||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8192|2019091706|17/09/2019|15:53|17/09/2019|21:06|PPA1|22|CD16|02|||||||||||||PPA1-22|722F-P-P1|17/09/2019|21:06|18/09/2019|03:20||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|60|15||F|17/09/2019|15:53|17/09/2019|09:58|17/09/2019|09:58||17/09/2019|07:30|1709||F1||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8192|2019091706|17/09/2019|15:53|17/09/2019|21:06|PPA1|22|CD16|02|||||||||||||PPA1-22|722F-P-P1|17/09/2019|21:06|18/09/2019|03:20||3|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|17/09/2019|15:53|17/09/2019|09:58|17/09/2019|09:58||17/09/2019|07:30|1709||F1||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8192|2019091706|17/09/2019|15:53|17/09/2019|21:06|PPA1|22|CD16|02|||||||||||||PPA1-22|722F-P-P1|17/09/2019|21:06|18/09/2019|03:20||4|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|17/09/2019|15:53|17/09/2019|09:58|17/09/2019|09:58||17/09/2019|07:30|1709|2|F1||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9007|2019091707|17/09/2019|15:33|17/09/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|17/09/2019|20:35|18/09/2019|01:15||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|36|9||F|17/09/2019|15:33|17/09/2019|11:23|17/09/2019|11:23||17/09/2019|07:30|1709||F1||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9007|2019091707|17/09/2019|15:33|17/09/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|17/09/2019|20:35|18/09/2019|01:15||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|17/09/2019|15:33|17/09/2019|11:23|17/09/2019|11:23||17/09/2019|07:30|1709||F1||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9007|2019091707|17/09/2019|15:33|17/09/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|17/09/2019|20:35|18/09/2019|01:15||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|17/09/2019|15:33|17/09/2019|11:23|17/09/2019|11:23||17/09/2019|07:30|1709||F1||
