1|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLAC2A0957|2019082601|26/08/2019|13:31|26/08/2019|19:30|PK2|15|KD02|01|||||||||||||PK2-15|722C-C-C2|26/08/2019|19:30|26/08/2019|20:46||1|89040-02070-00|SIREN ASSY  THEFT WARNING|475C|LI   -  07|12|24|2||B|26/08/2019|13:31|26/08/2019|08:38|26/08/2019|08:38||26/08/2019|07:30|2608||||
2|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8076|2019082606|26/08/2019|15:34|26/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|26/08/2019|21:06|27/08/2019|02:26||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|48|12||F|26/08/2019|15:34|26/08/2019|09:39|26/08/2019|09:39||26/08/2019|07:30|2608||F1||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8076|2019082606|26/08/2019|15:34|26/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|26/08/2019|21:06|27/08/2019|02:26||2|86140-0K570-00|RECEIVER ASSY  RADIO & DISPLAY|H713|SA.R -  12|4|4|1||F|26/08/2019|15:34|26/08/2019|09:39|26/08/2019|09:39||26/08/2019|07:30|2608||F1||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8076|2019082606|26/08/2019|15:34|26/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|26/08/2019|21:06|27/08/2019|02:26||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|26/08/2019|15:34|26/08/2019|09:39|26/08/2019|09:39||26/08/2019|07:30|2608||F1||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8076|2019082606|26/08/2019|15:34|26/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|26/08/2019|21:06|27/08/2019|02:26||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|26/08/2019|15:34|26/08/2019|09:39|26/08/2019|09:39||26/08/2019|07:30|2608||F1||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8076|2019082606|26/08/2019|15:34|26/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|26/08/2019|21:06|27/08/2019|02:26||5|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|26/08/2019|15:34|26/08/2019|09:39|26/08/2019|09:39||26/08/2019|07:30|2608||F1||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8076|2019082606|26/08/2019|15:34|26/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|26/08/2019|21:06|27/08/2019|02:26||6|86100-0K102-00|RECEIVER ASSY  RADIO & NAVIGATION|B035|SA.R -  14|4|4|1||F|26/08/2019|15:34|26/08/2019|09:39|26/08/2019|09:39||26/08/2019|07:30|2608||F1||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8076|2019082606|26/08/2019|15:34|26/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|26/08/2019|21:06|27/08/2019|02:26||7|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|26/08/2019|15:34|26/08/2019|09:39|26/08/2019|09:39||26/08/2019|07:30|2608||F1||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8863|2019082607|26/08/2019|15:50|26/08/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|26/08/2019|20:35|27/08/2019|01:15||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|40|10||F|26/08/2019|15:50|26/08/2019|11:40|26/08/2019|11:40||26/08/2019|07:30|2608||F1||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8863|2019082607|26/08/2019|15:50|26/08/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|26/08/2019|20:35|27/08/2019|01:15||2|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|26/08/2019|15:50|26/08/2019|11:40|26/08/2019|11:40||26/08/2019|07:30|2608||F1||
11|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8863|2019082607|26/08/2019|15:50|26/08/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|26/08/2019|20:35|27/08/2019|01:15||3|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|26/08/2019|15:50|26/08/2019|11:40|26/08/2019|11:40||26/08/2019|07:30|2608||F1||
12|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8864|2019082608|26/08/2019|15:50|26/08/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|26/08/2019|20:35|27/08/2019|03:42||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|28|7||F|26/08/2019|15:50|26/08/2019|11:40|26/08/2019|11:40||26/08/2019|07:30|2608||F1||
