1|FTTL|B|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLBBNA1769|2020041601|16/04/2020|14:07|16/04/2020|17:21|PSF|14|EB12|02|||||||||||||PSF-14|722E-B-PK|16/04/2020|17:21|16/04/2020|20:13||1|86160-0K430-00|SPEAKER ASSY  RADIO|H660|U2-08-12|10|120|12||C|16/04/2020|14:07|16/04/2020|09:07|16/04/2020|09:07||16/04/2020|07:30|1604|||CB1|
2|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2205|2020041602|16/04/2020|04:55|16/04/2020|10:41|PXA|12|WB12|01|||||||||||||PXA-12|722C-G-XA|16/04/2020|10:41|16/04/2020|15:51||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518|B5-05-52|20|40|2||F|16/04/2020|04:55|16/04/2020|00:55|16/04/2020|00:55||15/04/2020|07:30|1604|||CB1|
3|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2205|2020041602|16/04/2020|04:55|16/04/2020|10:41|PXA|12|WB12|01|||||||||||||PXA-12|722C-G-XA|16/04/2020|10:41|16/04/2020|15:51||2|86160-02B00-00|SPEAKER ASSY RADIO|K087|C2-05-11|10|210|21||H|16/04/2020|04:55|16/04/2020|00:55|16/04/2020|00:55||15/04/2020|07:30|1604|||CB1|
4|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2206|2020041603|16/04/2020|17:42|16/04/2020|21:20|PXA|20|WB12|02|||||||||||||PXA-20|722C-G-XA|16/04/2020|21:20|17/04/2020|01:08||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518|B5-05-52|20|40|2||F|16/04/2020|17:42|16/04/2020|13:42|16/04/2020|13:42||15/04/2020|07:30|1604|||CB1|
5|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2206|2020041603|16/04/2020|17:42|16/04/2020|21:20|PXA|20|WB12|02|||||||||||||PXA-20|722C-G-XA|16/04/2020|21:20|17/04/2020|01:08||2|86160-02B00-00|SPEAKER ASSY RADIO|K087|C2-05-11|10|220|22||H|16/04/2020|17:42|16/04/2020|13:42|16/04/2020|13:42||15/04/2020|07:30|1604|||CB1|
6|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2207|2020041701|16/04/2020|22:25|17/04/2020|01:30|PXA|04|WB12|03|||||||||||||PXA-04|722C-G-XA|17/04/2020|01:30|17/04/2020|09:25||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518|B5-05-52|20|40|2||F|16/04/2020|22:25|16/04/2020|18:25|16/04/2020|18:25||15/04/2020|07:30|1704|||CB1|
7|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2207|2020041701|16/04/2020|22:25|17/04/2020|01:30|PXA|04|WB12|03|||||||||||||PXA-04|722C-G-XA|17/04/2020|01:30|17/04/2020|09:25||2|86160-02B00-00|SPEAKER ASSY RADIO|K087|C2-05-11|10|330|33||H|16/04/2020|22:25|16/04/2020|18:25|16/04/2020|18:25||15/04/2020|07:30|1704|||CB1|
8|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2208|2020041702|17/04/2020|04:55|17/04/2020|10:41|PXA|12|WB12|01|||||||||||||PXA-12|722C-G-XA|17/04/2020|10:41|17/04/2020|15:51||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518|B5-05-52|20|20|1||F|17/04/2020|04:55|17/04/2020|00:55|17/04/2020|00:55||15/04/2020|07:30|1704|||CB1|
9|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2208|2020041702|17/04/2020|04:55|17/04/2020|10:41|PXA|12|WB12|01|||||||||||||PXA-12|722C-G-XA|17/04/2020|10:41|17/04/2020|15:51||2|86160-02B00-00|SPEAKER ASSY RADIO|K087|C2-05-11|10|370|37||H|17/04/2020|04:55|17/04/2020|00:55|17/04/2020|00:55||15/04/2020|07:30|1704|||CB1|
10|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2209|2020041703|17/04/2020|17:42|17/04/2020|21:20|PXA|20|WB12|02|||||||||||||PXA-20|722C-G-XA|17/04/2020|21:20|18/04/2020|01:08||1|86160-0K270-00|SPEAKER ASSY  RADIO|L518|B5-05-52|20|40|2||F|17/04/2020|17:42|17/04/2020|13:42|17/04/2020|13:42||17/04/2020|07:30|1704|||CB1|
11|FTTL|B|DENSO TEN (THAILAND) Limited.|G|GATEWAY|XA|1|1G FTTLBXAA2209|2020041703|17/04/2020|17:42|17/04/2020|21:20|PXA|20|WB12|02|||||||||||||PXA-20|722C-G-XA|17/04/2020|21:20|18/04/2020|01:08||2|86160-02B00-00|SPEAKER ASSY RADIO|K087|C2-05-11|10|410|41||H|17/04/2020|17:42|17/04/2020|13:42|17/04/2020|13:42||17/04/2020|07:30|1704|||CB1|
