1|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLABNA1510|2016112201|22/11/2016|20:55|23/11/2016|00:50|PSF|22|ED06|02|||||||||||||PSF-22|722E-B-PK|23/11/2016|00:50|23/11/2016|02:25||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L1-04-A4|10|20|2||V|22/11/2016|20:55|22/11/2016|15:55|22/11/2016|15:55||22/11/2016|07:30|2211|||CB2|
2|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|OB|1|1P FTTLAOBA0510|2016112201|22/11/2016|19:45|23/11/2016|03:00|CD16|02|CD16|02|||||||||||||CD16-02||23/11/2016|03:00||||1|PZ071-00A39-1C|RECEIVER ASSY  RADIO|J742|A4.SA- R11|4|4|1|||22/11/2016|19:45|22/11/2016|13:50|22/11/2016|13:50||22/11/2016|07:30|2211||||
3|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4405|2016112205|22/11/2016|08:15|22/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|22/11/2016|14:40|22/11/2016|20:56||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|8|2||3|22/11/2016|08:15|22/11/2016|02:20|22/11/2016|02:20||21/11/2016|07:30|2211||||
4|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4405|2016112205|22/11/2016|08:15|22/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|22/11/2016|14:40|22/11/2016|20:56||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|32|8||3|22/11/2016|08:15|22/11/2016|02:20|22/11/2016|02:20||21/11/2016|07:30|2211||||
5|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4405|2016112205|22/11/2016|08:15|22/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|22/11/2016|14:40|22/11/2016|20:56||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|8|2||3|22/11/2016|08:15|22/11/2016|02:20|22/11/2016|02:20||21/11/2016|07:30|2211||||
6|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4405|2016112205|22/11/2016|08:15|22/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|22/11/2016|14:40|22/11/2016|20:56||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1||3|22/11/2016|08:15|22/11/2016|02:20|22/11/2016|02:20||21/11/2016|07:30|2211||||
7|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4405|2016112205|22/11/2016|08:15|22/11/2016|14:40|PPA1|20|CD16|01|||||||||||||PPA1-20|722F-P-P1|22/11/2016|14:40|22/11/2016|20:56||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1||3|22/11/2016|08:15|22/11/2016|02:20|22/11/2016|02:20||21/11/2016|07:30|2211||||
8|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4196|2016112205|22/11/2016|09:05|22/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|22/11/2016|15:45|22/11/2016|22:13||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 09.|4|44|11||B|22/11/2016|09:05|22/11/2016|04:55|22/11/2016|04:55||21/11/2016|07:30|2211||||
9|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4196|2016112205|22/11/2016|09:05|22/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|22/11/2016|15:45|22/11/2016|22:13||2|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|B    - 02.|4|8|2||B|22/11/2016|09:05|22/11/2016|04:55|22/11/2016|04:55||21/11/2016|07:30|2211||||
10|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4196|2016112205|22/11/2016|09:05|22/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|22/11/2016|15:45|22/11/2016|22:13||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|C    - 09.|4|8|2||B|22/11/2016|09:05|22/11/2016|04:55|22/11/2016|04:55||21/11/2016|07:30|2211||||
11|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4196|2016112205|22/11/2016|09:05|22/11/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|22/11/2016|15:45|22/11/2016|22:13||4|86100-0K142-00|RECEIVER ASSY RADIO & NAVIGATION|D860|IP1  - A03|4|4|1||B|22/11/2016|09:05|22/11/2016|04:55|22/11/2016|04:55||21/11/2016|07:30|2211||||
