1|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|B|BANGPAKONG|BN|1|1B FTTLABNA1523|2016121301|13/12/2016|20:50|14/12/2016|01:15|PSF|23|ED06|04|||||||||||||PSF-23|722E-B-PK|14/12/2016|01:15|14/12/2016|03:13||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|L1-04-A4|10|30|3||V|13/12/2016|20:50|13/12/2016|15:50|13/12/2016|15:50||13/12/2016|07:30|1312|||CB2|
2|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|OB|1|1P FTTLAOBA0522|2016121301|13/12/2016|13:40|13/12/2016|21:10|CD16|02|CD16|02|||||||||||||CD16-02||13/12/2016|21:10||||1|PZ071-00A39-1C|RECEIVER ASSY  RADIO|J742|A4.SA- R11|4|8|2|||13/12/2016|13:40|13/12/2016|07:45|13/12/2016|07:45||13/12/2016|07:30|1312||||
3|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4275|2016121305|13/12/2016|09:05|13/12/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|13/12/2016|15:45|13/12/2016|22:13||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|A    - 09.|4|44|11||B|13/12/2016|09:05|13/12/2016|04:55|13/12/2016|04:55||09/12/2016|07:30|1312||||
4|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4275|2016121305|13/12/2016|09:05|13/12/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|13/12/2016|15:45|13/12/2016|22:13||2|86100-0K142-00|RECEIVER ASSY RADIO & NAVIGATION|D860|IP1  - A03|4|8|2||B|13/12/2016|09:05|13/12/2016|04:55|13/12/2016|04:55||09/12/2016|07:30|1312||||
5|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4275|2016121305|13/12/2016|09:05|13/12/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|13/12/2016|15:45|13/12/2016|22:13||3|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1. - A08|4|4|1||B|13/12/2016|09:05|13/12/2016|04:55|13/12/2016|04:55||09/12/2016|07:30|1312||||
6|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4275|2016121305|13/12/2016|09:05|13/12/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|13/12/2016|15:45|13/12/2016|22:13||4|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1. - A08|4|8|2||B|13/12/2016|09:05|13/12/2016|04:55|13/12/2016|04:55||09/12/2016|07:30|1312||||
7|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|S|SAMRONG|S1|1|1S FTTLAS1B4275|2016121305|13/12/2016|09:05|13/12/2016|15:45|PSA|17|SD10|02|||||||||||||PSA-17|722B-S-S1|13/12/2016|15:45|13/12/2016|22:13||5|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1. - A08|4|8|2||B|13/12/2016|09:05|13/12/2016|04:55|13/12/2016|04:55||09/12/2016|07:30|1312||||
8|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4510|2016121306|13/12/2016|13:40|13/12/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|13/12/2016|21:10|13/12/2016|23:01||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|4|1||3|13/12/2016|13:40|13/12/2016|07:45|13/12/2016|07:45||13/12/2016|07:30|1312||||
9|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4510|2016121306|13/12/2016|13:40|13/12/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|13/12/2016|21:10|13/12/2016|23:01||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|12|3||3|13/12/2016|13:40|13/12/2016|07:45|13/12/2016|07:45||13/12/2016|07:30|1312||||
10|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4510|2016121306|13/12/2016|13:40|13/12/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|13/12/2016|21:10|13/12/2016|23:01||3|86120-0KA10-00|RECEIVER ASSY  RADIO|H555|A4.SA- R11|4|4|1||3|13/12/2016|13:40|13/12/2016|07:45|13/12/2016|07:45||13/12/2016|07:30|1312||||
11|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4510|2016121306|13/12/2016|13:40|13/12/2016|21:10|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|13/12/2016|21:10|13/12/2016|23:01||4|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1||3|13/12/2016|13:40|13/12/2016|07:45|13/12/2016|07:45||13/12/2016|07:30|1312||||
