1|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA1840|2018071701|17/07/2018|05:42|17/07/2018|09:55|PSF|07|ED06|01|||||||||||||PSF-07|722E-B-PK|17/07/2018|09:55|17/07/2018|12:30||1|89040-0K010-00|SIREN ASSY  THEFT WARNING|H681|T1-09-C4|10|20|2||F|17/07/2018|05:42|17/07/2018|00:42|17/07/2018|00:42||16/07/2018|07:30|1707|||CB2|
2|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C5|1|1C FTTLAC5A0422|2018071701|17/07/2018|10:45|17/07/2018|20:19|KD02|02|KD02|02|||||||||||||||||17/07/2018|20:19||1|86100-02241-00|RECEIVER ASSY  RADIO & NAVIGATION|T575|LQ   -  04|3|3|1|||17/07/2018|10:45|17/07/2018|05:52|17/07/2018|05:52||16/07/2018|07:30|1707||||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C5|1|1C FTTLAC5A0422|2018071701|17/07/2018|10:45|17/07/2018|20:19|KD02|02|KD02|02|||||||||||||||||17/07/2018|20:19||2|86140-02550-00|RECEIVER ASSY  RADIO & DISPLAY|T502|LQ   -  04|3|15|5|||17/07/2018|10:45|17/07/2018|05:52|17/07/2018|05:52||16/07/2018|07:30|1707||||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|G|GATEWAY|OG|1|1G FTTLAOGA0481|2018071702|17/07/2018|23:21|18/07/2018|03:11|GD05|04|GD05|04|||||||||||||GD05-04||18/07/2018|03:11||||1|PC600-0D01D-00|RECEIVER ASSY  RADIO&DISPLAY|29A5|..ZK -  05|3|3|1|||17/07/2018|23:21|17/07/2018|17:21|17/07/2018|17:21||17/07/2018|07:30|1707||||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|G|GATEWAY|OG|1|1G FTTLAOGA0481|2018071702|17/07/2018|23:21|18/07/2018|03:11|GD05|04|GD05|04|||||||||||||GD05-04||18/07/2018|03:11||||2|PC600-0D01G-00|MANUAL  OWNERS RADIO|29A6|BN   -  27|10|10|1|||17/07/2018|23:21|17/07/2018|17:21|17/07/2018|17:21||17/07/2018|07:30|1707||||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6692|2018071702|17/07/2018|04:23|17/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|17/07/2018|08:35|17/07/2018|10:43||1|86100-0K143-00|RECEIVER ASSY RADIO & NAVIGATION|E453|IP1  - A07|4|16|4||0|17/07/2018|04:23|17/07/2018|00:13|17/07/2018|00:13||16/07/2018|07:30|1707||||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6692|2018071702|17/07/2018|04:23|17/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|17/07/2018|08:35|17/07/2018|10:43||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||0|17/07/2018|04:23|17/07/2018|00:13|17/07/2018|00:13||16/07/2018|07:30|1707||||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6692|2018071702|17/07/2018|04:23|17/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|17/07/2018|08:35|17/07/2018|10:43||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|20|5||0|17/07/2018|04:23|17/07/2018|00:13|17/07/2018|00:13||16/07/2018|07:30|1707||||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6692|2018071702|17/07/2018|04:23|17/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|17/07/2018|08:35|17/07/2018|10:43||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||0|17/07/2018|04:23|17/07/2018|00:13|17/07/2018|00:13||16/07/2018|07:30|1707||||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6692|2018071702|17/07/2018|04:23|17/07/2018|08:35|PSA|05|PD02|01|||||||||||||PSA-05|722B-S-S1|17/07/2018|08:35|17/07/2018|10:43||5|86120-0KA00-00|RECEIVER ASSY RADIO|A792|PC   -DIRE|4|24|6|||17/07/2018|04:23|17/07/2018|00:13|17/07/2018|00:13||16/07/2018|07:30|1707||||
11|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6404|2018071703|17/07/2018|15:35|17/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|17/07/2018|21:06|17/07/2018|22:51||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|44|11|||17/07/2018|15:35|17/07/2018|09:40|17/07/2018|09:40||17/07/2018|07:30|1707||||
12|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6404|2018071703|17/07/2018|15:35|17/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|17/07/2018|21:06|17/07/2018|22:51||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1|||17/07/2018|15:35|17/07/2018|09:40|17/07/2018|09:40||17/07/2018|07:30|1707||||
13|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6404|2018071703|17/07/2018|15:35|17/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|17/07/2018|21:06|17/07/2018|22:51||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1|||17/07/2018|15:35|17/07/2018|09:40|17/07/2018|09:40||17/07/2018|07:30|1707||||
14|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6404|2018071703|17/07/2018|15:35|17/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|17/07/2018|21:06|17/07/2018|22:51||4|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|8|2|||17/07/2018|15:35|17/07/2018|09:40|17/07/2018|09:40||17/07/2018|07:30|1707||||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6404|2018071703|17/07/2018|15:35|17/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|17/07/2018|21:06|17/07/2018|22:51||5|86140-0KA70-00|RECEIVER ASSY  RADIO & DISPLAY|H704|A4.SA- R11|4|4|1|||17/07/2018|15:35|17/07/2018|09:40|17/07/2018|09:40||17/07/2018|07:30|1707||||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6404|2018071703|17/07/2018|15:35|17/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|17/07/2018|21:06|17/07/2018|22:51||6|86100-0K213-00|RECEIVER ASSY  RADIO & NAVIGATION|U804|A5.SA- R10|4|4|1|||17/07/2018|15:35|17/07/2018|09:40|17/07/2018|09:40||17/07/2018|07:30|1707||||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6404|2018071703|17/07/2018|15:35|17/07/2018|21:06|PPA1|18|CD16|02|||||||||||||PPA1-18|722F-P-P1|17/07/2018|21:06|17/07/2018|22:51||7|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|A5.SA- R10|4|4|1|||17/07/2018|15:35|17/07/2018|09:40|17/07/2018|09:40||17/07/2018|07:30|1707||||
18|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6693|2018071703|17/07/2018|04:23|17/07/2018|08:35|PSA|09|PD02|01|||||||||||||PSA-09|722B-S-S1|17/07/2018|08:35|17/07/2018|14:56||1|86100-0K143-00|RECEIVER ASSY RADIO & NAVIGATION|E453|IP1  - A07|4|16|4||0|17/07/2018|04:23|17/07/2018|00:13|17/07/2018|00:13||16/07/2018|07:30|1707||||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6693|2018071703|17/07/2018|04:23|17/07/2018|08:35|PSA|09|PD02|01|||||||||||||PSA-09|722B-S-S1|17/07/2018|08:35|17/07/2018|14:56||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|20|5||0|17/07/2018|04:23|17/07/2018|00:13|17/07/2018|00:13||16/07/2018|07:30|1707||||
