1|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLAC2A0960|2019083001|30/08/2019|13:31|30/08/2019|19:30|PK2|15|KD02|01|||||||||||||PK2-15|722C-C-C2|30/08/2019|19:30|30/08/2019|20:46||1|89040-02070-00|SIREN ASSY  THEFT WARNING|475C|LI   -  07|12|12|1||B|30/08/2019|13:31|30/08/2019|08:38|30/08/2019|08:38||30/08/2019|07:30|3008||||
2|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8104|2019083006|30/08/2019|15:34|30/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|30/08/2019|21:06|31/08/2019|02:26||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|52|13||F|30/08/2019|15:34|30/08/2019|09:39|30/08/2019|09:39||30/08/2019|07:30|3008||F1||
3|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8104|2019083006|30/08/2019|15:34|30/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|30/08/2019|21:06|31/08/2019|02:26||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|8|2||F|30/08/2019|15:34|30/08/2019|09:39|30/08/2019|09:39||30/08/2019|07:30|3008||F1||
4|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8104|2019083006|30/08/2019|15:34|30/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|30/08/2019|21:06|31/08/2019|02:26||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|30/08/2019|15:34|30/08/2019|09:39|30/08/2019|09:39||30/08/2019|07:30|3008||F1||
5|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8104|2019083006|30/08/2019|15:34|30/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|30/08/2019|21:06|31/08/2019|02:26||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|30/08/2019|15:34|30/08/2019|09:39|30/08/2019|09:39||30/08/2019|07:30|3008||F1||
6|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8104|2019083006|30/08/2019|15:34|30/08/2019|21:06|PPA1|21|CD16|02|||||||||||||PPA1-21|722F-P-P1|30/08/2019|21:06|31/08/2019|02:26||5|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|30/08/2019|15:34|30/08/2019|09:39|30/08/2019|09:39||30/08/2019|07:30|3008||F1||
7|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8895|2019083007|30/08/2019|15:50|30/08/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|30/08/2019|20:35|31/08/2019|01:15||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|36|9||F|30/08/2019|15:50|30/08/2019|11:40|30/08/2019|11:40||30/08/2019|07:30|3008||F1||
8|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8895|2019083007|30/08/2019|15:50|30/08/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|30/08/2019|20:35|31/08/2019|01:15||2|86120-0KA11-00|RECEIVER ASSY RADIO|E396|IP1  - A07|4|4|1||F|30/08/2019|15:50|30/08/2019|11:40|30/08/2019|11:40||30/08/2019|07:30|3008||F1||
9|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8895|2019083007|30/08/2019|15:50|30/08/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|30/08/2019|20:35|31/08/2019|01:15||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|30/08/2019|15:50|30/08/2019|11:40|30/08/2019|11:40||30/08/2019|07:30|3008||F1||
10|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8895|2019083007|30/08/2019|15:50|30/08/2019|20:35|PSA|19|PD02|03|||||||||||||PSA-19|722B-S-S1|30/08/2019|20:35|31/08/2019|01:15||4|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|30/08/2019|15:50|30/08/2019|11:40|30/08/2019|11:40||30/08/2019|07:30|3008||F1||
11|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8896|2019083008|30/08/2019|15:50|30/08/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|30/08/2019|20:35|31/08/2019|03:42||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|32|8||F|30/08/2019|15:50|30/08/2019|11:40|30/08/2019|11:40||30/08/2019|07:30|3008||F1||
